query_id,condition,seed,opt_steps,optimised_against,correct_rank,top1_place,correct_place,effective_mse,psnr,weight_top10pct_share,weight_mean_square,surrogate_sim_start,surrogate_sim_end
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_x2,1234,40,expectation:clip_vitl14,15,london:85,london:51,15.680002,36.1773,0.609092,1.000000,0.942115,0.790496
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_x2_crossdraw,1234,40,expectation:clip_vitl14,28,amman:35,amman:31,15.679997,36.1773,0.594624,1.000000,0.838339,0.670350
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_x2_crossdraw,1234,40,expectation:clip_vitl14,24,manila:202,boston:87,15.680000,36.1773,0.610228,1.000000,0.861460,0.630283
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_x2_crossdraw,1234,40,expectation:clip_vitl14,265,london:119,cph:208,15.680000,36.1773,0.626958,1.000000,0.860710,0.532041
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_x2_crossdraw,1234,40,expectation:clip_vitl14,16,london:85,london:51,15.679997,36.1773,0.609092,1.000000,0.942115,0.790496
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,5678,20,none,1,amman:31,amman:31,15.680000,36.1773,0.100000,1.000000,2.812847,2.812847
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,5678,20,none,1,boston:87,boston:87,15.680000,36.1773,0.100000,1.000000,2.809706,2.809706
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,5678,20,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,2.813037,2.813037
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,5678,20,none,13,london:85,london:51,15.679998,36.1773,0.100000,1.000000,2.858382,2.858382
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,5678,20,none,2,amman:11,amman:31,15.680000,36.1773,0.100000,1.000000,2.812847,2.812847
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,5678,20,none,1,boston:87,boston:87,15.680000,36.1773,0.100000,1.000000,2.809706,2.809706
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,5678,20,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,2.813037,2.813037
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,5678,20,none,15,london:85,london:51,15.680001,36.1773,0.100000,1.000000,2.858382,2.858382
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer,5678,20,expectation:resnet50+vgg16+cosplace,2,amman:11,amman:31,15.680001,36.1773,0.538536,1.000000,2.812842,2.444066
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer,5678,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680002,36.1773,0.527302,1.000000,2.809700,2.468118
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer,5678,20,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.520011,1.000000,2.813053,2.429132
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer,5678,20,expectation:resnet50+vgg16+cosplace,15,london:73,london:51,15.679997,36.1773,0.544482,1.000000,2.858361,2.507640
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_crossdraw,5678,20,expectation:resnet50+vgg16+cosplace,2,amman:11,amman:31,15.680000,36.1773,0.538536,1.000000,2.812842,2.444066
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_crossdraw,5678,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679997,36.1773,0.527302,1.000000,2.809700,2.468118
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_crossdraw,5678,20,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.679997,36.1773,0.520011,1.000000,2.813053,2.429132
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_crossdraw,5678,20,expectation:resnet50+vgg16+cosplace,14,london:85,london:51,15.679997,36.1773,0.544482,1.000000,2.858361,2.507640
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2,5678,40,expectation:resnet50+vgg16+cosplace,4,amman:11,amman:31,15.680000,36.1773,0.749873,1.000000,2.812842,2.101618
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2,5678,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680001,36.1773,0.695414,1.000000,2.809700,2.296077
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2,5678,40,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.719000,1.000000,2.813053,2.165859
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_x2,5678,40,expectation:resnet50+vgg16+cosplace,15,london:73,london:51,15.680000,36.1773,0.745832,1.000000,2.858361,2.227988
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2_crossdraw,5678,40,expectation:resnet50+vgg16+cosplace,5,amman:11,amman:31,15.680000,36.1773,0.749873,1.000000,2.812842,2.101618
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2_crossdraw,5678,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679997,36.1773,0.695414,1.000000,2.809700,2.296077
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2_crossdraw,5678,40,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.719000,1.000000,2.813053,2.165859
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_x2_crossdraw,5678,40,expectation:resnet50+vgg16+cosplace,14,london:73,london:51,15.680000,36.1773,0.745832,1.000000,2.858361,2.227988
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox,5678,20,expectation:clip_vitl14,27,amman:35,amman:31,15.680000,36.1773,0.455658,1.000000,0.847550,0.713001
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox,5678,20,expectation:clip_vitl14,12,manila:202,boston:87,15.679997,36.1773,0.482378,1.000000,0.863994,0.685335
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox,5678,20,expectation:clip_vitl14,64,london:119,cph:208,15.680000,36.1773,0.476392,1.000000,0.855931,0.663398
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox,5678,20,expectation:clip_vitl14,16,london:85,london:51,15.679998,36.1773,0.459109,1.000000,0.943253,0.832922
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_crossdraw,5678,20,expectation:clip_vitl14,25,amman:35,amman:31,15.680001,36.1773,0.455658,1.000000,0.847550,0.713001
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_crossdraw,5678,20,expectation:clip_vitl14,17,manila:202,boston:87,15.679997,36.1773,0.482378,1.000000,0.863994,0.685335
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_crossdraw,5678,20,expectation:clip_vitl14,143,london:119,cph:208,15.679997,36.1773,0.476392,1.000000,0.855931,0.663398
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_crossdraw,5678,20,expectation:clip_vitl14,16,london:85,london:51,15.679996,36.1773,0.459109,1.000000,0.943253,0.832922
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_x2,5678,40,expectation:clip_vitl14,32,amman:35,amman:31,15.679998,36.1773,0.591057,1.000000,0.847550,0.667195
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_x2,5678,40,expectation:clip_vitl14,29,manila:202,boston:87,15.679997,36.1773,0.613331,1.000000,0.863994,0.601886
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_x2,5678,40,expectation:clip_vitl14,247,london:125,cph:208,15.680000,36.1773,0.635400,1.000000,0.855931,0.552755
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_x2,5678,40,expectation:clip_vitl14,15,london:85,london:51,15.679997,36.1773,0.623891,1.000000,0.943253,0.765958
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_x2_crossdraw,5678,40,expectation:clip_vitl14,27,amman:35,amman:31,15.679997,36.1773,0.591057,1.000000,0.847550,0.667195
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_x2_crossdraw,5678,40,expectation:clip_vitl14,32,manila:202,boston:87,15.679996,36.1773,0.613331,1.000000,0.863994,0.601886
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_x2_crossdraw,5678,40,expectation:clip_vitl14,327,london:119,cph:208,15.679997,36.1773,0.635400,1.000000,0.855931,0.552755
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_x2_crossdraw,5678,40,expectation:clip_vitl14,15,london:85,london:51,15.680000,36.1773,0.623891,1.000000,0.943253,0.765958
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform,9012,20,none,2,amman:11,amman:31,15.679998,36.1773,0.100000,1.000000,2.808346,2.808346
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform,9012,20,none,1,boston:87,boston:87,15.679998,36.1773,0.100000,1.000000,2.796311,2.796311
cph_query_--FyHVca3HP-QgUmcAvToA,uniform,9012,20,none,1,cph:208,cph:208,15.679998,36.1773,0.100000,1.000000,2.819003,2.819003
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform,9012,20,none,15,london:85,london:51,15.679996,36.1773,0.100000,1.000000,2.861458,2.861458
amman_query_-39Q9edqZUArYHa41OPDoQ,uniform_crossdraw,9012,20,none,1,amman:31,amman:31,15.679997,36.1773,0.100000,1.000000,2.808346,2.808346
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,uniform_crossdraw,9012,20,none,1,boston:87,boston:87,15.679997,36.1773,0.100000,1.000000,2.796311,2.796311
cph_query_--FyHVca3HP-QgUmcAvToA,uniform_crossdraw,9012,20,none,1,cph:208,cph:208,15.680000,36.1773,0.100000,1.000000,2.819003,2.819003
london_query_-0u7VsCOCAmwH4RFsN5BoA,uniform_crossdraw,9012,20,none,15,london:85,london:51,15.680001,36.1773,0.100000,1.000000,2.861458,2.861458
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer,9012,20,expectation:resnet50+vgg16+cosplace,6,amman:11,amman:31,15.679997,36.1773,0.538241,1.000000,2.808348,2.419517
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer,9012,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679998,36.1773,0.524804,1.000000,2.796334,2.444787
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer,9012,20,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.523970,1.000000,2.818990,2.433239
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer,9012,20,expectation:resnet50+vgg16+cosplace,15,london:85,london:51,15.680002,36.1773,0.543177,1.000000,2.861470,2.482877
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_crossdraw,9012,20,expectation:resnet50+vgg16+cosplace,7,amman:11,amman:31,15.680000,36.1773,0.538241,1.000000,2.808348,2.419517
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_crossdraw,9012,20,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680000,36.1773,0.524804,1.000000,2.796334,2.444787
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_crossdraw,9012,20,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.679997,36.1773,0.523970,1.000000,2.818990,2.433239
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_crossdraw,9012,20,expectation:resnet50+vgg16+cosplace,14,london:73,london:51,15.679997,36.1773,0.543177,1.000000,2.861470,2.482877
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2,9012,40,expectation:resnet50+vgg16+cosplace,6,amman:11,amman:31,15.679997,36.1773,0.750335,1.000000,2.808348,2.117495
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2,9012,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.680002,36.1773,0.697409,1.000000,2.796334,2.264779
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2,9012,40,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.680000,36.1773,0.728703,1.000000,2.818990,2.146181
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_x2,9012,40,expectation:resnet50+vgg16+cosplace,16,london:73,london:51,15.680001,36.1773,0.743536,1.000000,2.861470,2.241496
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_transfer_x2_crossdraw,9012,40,expectation:resnet50+vgg16+cosplace,7,amman:11,amman:31,15.680000,36.1773,0.750335,1.000000,2.808348,2.117495
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_transfer_x2_crossdraw,9012,40,expectation:resnet50+vgg16+cosplace,1,boston:87,boston:87,15.679997,36.1773,0.697409,1.000000,2.796334,2.264779
cph_query_--FyHVca3HP-QgUmcAvToA,opt_transfer_x2_crossdraw,9012,40,expectation:resnet50+vgg16+cosplace,1,cph:208,cph:208,15.679997,36.1773,0.728703,1.000000,2.818990,2.146181
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_transfer_x2_crossdraw,9012,40,expectation:resnet50+vgg16+cosplace,14,london:73,london:51,15.680002,36.1773,0.743536,1.000000,2.861470,2.241496
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox,9012,20,expectation:clip_vitl14,23,amman:35,amman:31,15.679998,36.1773,0.463673,1.000000,0.854643,0.729318
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox,9012,20,expectation:clip_vitl14,12,manila:202,boston:87,15.679997,36.1773,0.478479,1.000000,0.855661,0.680204
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox,9012,20,expectation:clip_vitl14,84,london:119,cph:208,15.679997,36.1773,0.469921,1.000000,0.856822,0.678526
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox,9012,20,expectation:clip_vitl14,15,london:85,london:51,15.679996,36.1773,0.456107,1.000000,0.921799,0.836695
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_crossdraw,9012,20,expectation:clip_vitl14,20,amman:1,amman:31,15.680000,36.1773,0.463673,1.000000,0.854643,0.729318
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_crossdraw,9012,20,expectation:clip_vitl14,8,manila:202,boston:87,15.680000,36.1773,0.478479,1.000000,0.855661,0.680204
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_crossdraw,9012,20,expectation:clip_vitl14,50,london:125,cph:208,15.680000,36.1773,0.469921,1.000000,0.856822,0.678526
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_crossdraw,9012,20,expectation:clip_vitl14,17,london:85,london:51,15.680001,36.1773,0.456107,1.000000,0.921799,0.836695
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_x2,9012,40,expectation:clip_vitl14,22,amman:1,amman:31,15.680000,36.1773,0.600289,1.000000,0.854643,0.684391
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_x2,9012,40,expectation:clip_vitl14,18,manila:202,boston:87,15.679997,36.1773,0.614731,1.000000,0.855661,0.619473
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_x2,9012,40,expectation:clip_vitl14,259,london:119,cph:208,15.679997,36.1773,0.634613,1.000000,0.856822,0.570489
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_x2,9012,40,expectation:clip_vitl14,15,london:85,london:51,15.680001,36.1773,0.623588,1.000000,0.921799,0.753681
amman_query_-39Q9edqZUArYHa41OPDoQ,opt_whitebox_x2_crossdraw,9012,40,expectation:clip_vitl14,22,amman:1,amman:31,15.679997,36.1773,0.600289,1.000000,0.854643,0.684391
boston_query_--LUAhgqzqNM6FyWSJ-Dsw,opt_whitebox_x2_crossdraw,9012,40,expectation:clip_vitl14,21,manila:202,boston:87,15.679998,36.1773,0.614731,1.000000,0.855661,0.619473
cph_query_--FyHVca3HP-QgUmcAvToA,opt_whitebox_x2_crossdraw,9012,40,expectation:clip_vitl14,235,london:125,cph:208,15.679997,36.1773,0.634613,1.000000,0.856822,0.570489
london_query_-0u7VsCOCAmwH4RFsN5BoA,opt_whitebox_x2_crossdraw,9012,40,expectation:clip_vitl14,13,london:85,london:51,15.680002,36.1773,0.623588,1.000000,0.921799,0.753681
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform,1234,20,none,89,manila:29,manila:102,15.680000,36.1773,0.100000,1.000000,2.881052,2.881052
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform,1234,20,none,1996,nairobi:1,nairobi:2,15.679998,36.1773,0.100000,1.000000,2.873592,2.873592
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform,1234,20,none,11,toronto:244,toronto:33,15.679995,36.1773,0.100000,1.000000,2.839831,2.839831
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform,1234,20,none,3,zurich:61,zurich:64,15.679997,36.1773,0.100000,1.000000,2.801415,2.801415
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,uniform_crossdraw,1234,20,none,53,manila:134,manila:102,15.680000,36.1773,0.100000,1.000000,2.881052,2.881052
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,uniform_crossdraw,1234,20,none,2000,nairobi:1,nairobi:2,15.679997,36.1773,0.100000,1.000000,2.873592,2.873592
toronto_query_-1caqsIDW4YpUBZB98J9uV,uniform_crossdraw,1234,20,none,13,toronto:244,toronto:33,15.680001,36.1773,0.100000,1.000000,2.839831,2.839831
zurich_query_--RjvuIbkJiPNJknyeZN_Q,uniform_crossdraw,1234,20,none,3,zurich:109,zurich:64,15.680000,36.1773,0.100000,1.000000,2.801415,2.801415
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,87,manila:134,manila:102,15.680000,36.1773,0.562177,1.000000,2.881047,2.528357
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,1985,nairobi:1,nairobi:2,15.679997,36.1773,0.560983,1.000000,2.873605,2.513720
toronto_query_-1caqsIDW4YpUBZB98J9uV,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,14,toronto:244,toronto:33,15.680002,36.1773,0.550782,1.000000,2.839837,2.436544
zurich_query_--RjvuIbkJiPNJknyeZN_Q,opt_transfer,1234,20,expectation:resnet50+vgg16+cosplace,4,zurich:94,zurich:64,15.679998,36.1773,0.528797,1.000000,2.801411,2.460634
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,71,manila:134,manila:102,15.680000,36.1773,0.562177,1.000000,2.881047,2.528357
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,1991,nairobi:1,nairobi:2,15.680000,36.1773,0.560983,1.000000,2.873605,2.513720
toronto_query_-1caqsIDW4YpUBZB98J9uV,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,16,toronto:244,toronto:33,15.679996,36.1773,0.550782,1.000000,2.839837,2.436544
zurich_query_--RjvuIbkJiPNJknyeZN_Q,opt_transfer_crossdraw,1234,20,expectation:resnet50+vgg16+cosplace,2,zurich:94,zurich:64,15.679997,36.1773,0.528797,1.000000,2.801411,2.460634
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,82,manila:29,manila:102,15.679998,36.1773,0.775019,1.000000,2.881047,2.300475
nairobi_query_-K4R8iYrz9LwQ7wia8JZtQ,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,1989,nairobi:1,nairobi:2,15.680000,36.1773,0.744656,1.000000,2.873605,2.353825
toronto_query_-1caqsIDW4YpUBZB98J9uV,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,14,toronto:244,toronto:33,15.679996,36.1773,0.761271,1.000000,2.839837,2.076176
zurich_query_--RjvuIbkJiPNJknyeZN_Q,opt_transfer_x2,1234,40,expectation:resnet50+vgg16+cosplace,7,zurich:94,zurich:64,15.680000,36.1773,0.719083,1.000000,2.801411,2.225235
manila_query_-10kuZ2TqVxJ-YLQJl2uqA,opt_transfer_x2_crossdraw,1234,40,expectation:resnet50+vgg16+cosplace,76,manila:89,manila:102,15.679997,36.1773,0.775019,1.000000,2.881047,2.300475
