query_id,place_id,condition,seed,correct_rank
0000_query_0000007833,kitti360:0000_p2,isotropic,1236,454
0000_query_0000007833,kitti360:0000_p2,transfer_3,1236,398
0000_query_0000007839,kitti360:0000_p2,isotropic,1234,328
0000_query_0000007839,kitti360:0000_p2,transfer_3,1234,460
0000_query_0000007839,kitti360:0000_p2,isotropic,1235,280
0000_query_0000007839,kitti360:0000_p2,transfer_3,1235,351
0000_query_0000007839,kitti360:0000_p2,isotropic,1236,307
0000_query_0000007839,kitti360:0000_p2,transfer_3,1236,370
0000_query_0000007845,kitti360:0000_p2,isotropic,1234,208
0000_query_0000007845,kitti360:0000_p2,transfer_3,1234,459
0000_query_0000007845,kitti360:0000_p2,isotropic,1235,268
0000_query_0000007845,kitti360:0000_p2,transfer_3,1235,465
0000_query_0000007845,kitti360:0000_p2,isotropic,1236,237
0000_query_0000007845,kitti360:0000_p2,transfer_3,1236,462
0000_query_0000007852,kitti360:0000_p2,isotropic,1234,387
0000_query_0000007852,kitti360:0000_p2,transfer_3,1234,876
0000_query_0000007852,kitti360:0000_p2,isotropic,1235,333
0000_query_0000007852,kitti360:0000_p2,transfer_3,1235,780
0000_query_0000007852,kitti360:0000_p2,isotropic,1236,359
0000_query_0000007852,kitti360:0000_p2,transfer_3,1236,821
0000_query_0000007860,kitti360:0000_p2,isotropic,1234,315
0000_query_0000007860,kitti360:0000_p2,transfer_3,1234,539
0000_query_0000007860,kitti360:0000_p2,isotropic,1235,249
0000_query_0000007860,kitti360:0000_p2,transfer_3,1235,477
0000_query_0000007860,kitti360:0000_p2,isotropic,1236,385
0000_query_0000007860,kitti360:0000_p2,transfer_3,1236,534
0000_query_0000007868,kitti360:0000_p2,isotropic,1234,1
0000_query_0000007868,kitti360:0000_p2,transfer_3,1234,37
0000_query_0000007868,kitti360:0000_p2,isotropic,1235,1
0000_query_0000007868,kitti360:0000_p2,transfer_3,1235,13
0000_query_0000007868,kitti360:0000_p2,isotropic,1236,1
0000_query_0000007868,kitti360:0000_p2,transfer_3,1236,38
0000_query_0000007876,kitti360:0000_p2,isotropic,1234,2
0000_query_0000007876,kitti360:0000_p2,transfer_3,1234,19
0000_query_0000007876,kitti360:0000_p2,isotropic,1235,2
0000_query_0000007876,kitti360:0000_p2,transfer_3,1235,9
0000_query_0000007876,kitti360:0000_p2,isotropic,1236,3
0000_query_0000007876,kitti360:0000_p2,transfer_3,1236,32
0000_query_0000005898,kitti360:0000_p3,isotropic,1234,10
0000_query_0000005898,kitti360:0000_p3,transfer_3,1234,18
0000_query_0000005898,kitti360:0000_p3,isotropic,1235,12
0000_query_0000005898,kitti360:0000_p3,transfer_3,1235,17
0000_query_0000005898,kitti360:0000_p3,isotropic,1236,21
0000_query_0000005898,kitti360:0000_p3,transfer_3,1236,3
0000_query_0000005910,kitti360:0000_p3,isotropic,1234,177
0000_query_0000005910,kitti360:0000_p3,transfer_3,1234,24
0000_query_0000005910,kitti360:0000_p3,isotropic,1235,179
0000_query_0000005910,kitti360:0000_p3,transfer_3,1235,19
0000_query_0000005910,kitti360:0000_p3,isotropic,1236,172
0000_query_0000005910,kitti360:0000_p3,transfer_3,1236,20
0000_query_0000005922,kitti360:0000_p3,isotropic,1234,5
0000_query_0000005922,kitti360:0000_p3,transfer_3,1234,4
0000_query_0000005922,kitti360:0000_p3,isotropic,1235,6
0000_query_0000005922,kitti360:0000_p3,transfer_3,1235,2
0000_query_0000005922,kitti360:0000_p3,isotropic,1236,4
0000_query_0000005922,kitti360:0000_p3,transfer_3,1236,7
0000_query_0000005935,kitti360:0000_p3,isotropic,1234,1
0000_query_0000005935,kitti360:0000_p3,transfer_3,1234,1
0000_query_0000005935,kitti360:0000_p3,isotropic,1235,1
0000_query_0000005935,kitti360:0000_p3,transfer_3,1235,1
0000_query_0000005935,kitti360:0000_p3,isotropic,1236,1
0000_query_0000005935,kitti360:0000_p3,transfer_3,1236,1
0000_query_0000005951,kitti360:0000_p3,isotropic,1234,3
0000_query_0000005951,kitti360:0000_p3,transfer_3,1234,11
0000_query_0000005951,kitti360:0000_p3,isotropic,1235,3
0000_query_0000005951,kitti360:0000_p3,transfer_3,1235,5
0000_query_0000005951,kitti360:0000_p3,isotropic,1236,2
0000_query_0000005951,kitti360:0000_p3,transfer_3,1236,3
0000_query_0000005962,kitti360:0000_p3,isotropic,1234,10
0000_query_0000005962,kitti360:0000_p3,transfer_3,1234,62
0000_query_0000005962,kitti360:0000_p3,isotropic,1235,10
0000_query_0000005962,kitti360:0000_p3,transfer_3,1235,28
0000_query_0000005962,kitti360:0000_p3,isotropic,1236,8
0000_query_0000005962,kitti360:0000_p3,transfer_3,1236,46
0000_query_0000005971,kitti360:0000_p3,isotropic,1234,74
0000_query_0000005971,kitti360:0000_p3,transfer_3,1234,115
0000_query_0000005971,kitti360:0000_p3,isotropic,1235,75
0000_query_0000005971,kitti360:0000_p3,transfer_3,1235,110
0000_query_0000005971,kitti360:0000_p3,isotropic,1236,66
0000_query_0000005971,kitti360:0000_p3,transfer_3,1236,114
0000_query_0000005979,kitti360:0000_p3,isotropic,1234,10
0000_query_0000005979,kitti360:0000_p3,transfer_3,1234,10
0000_query_0000005979,kitti360:0000_p3,isotropic,1235,8
0000_query_0000005979,kitti360:0000_p3,transfer_3,1235,12
0000_query_0000005979,kitti360:0000_p3,isotropic,1236,11
0000_query_0000005979,kitti360:0000_p3,transfer_3,1236,15
0000_query_0000005987,kitti360:0000_p3,isotropic,1234,59
0000_query_0000005987,kitti360:0000_p3,transfer_3,1234,1
0000_query_0000005987,kitti360:0000_p3,isotropic,1235,52
0000_query_0000005987,kitti360:0000_p3,transfer_3,1235,1
0000_query_0000005987,kitti360:0000_p3,isotropic,1236,61
0000_query_0000005987,kitti360:0000_p3,transfer_3,1236,1
0000_query_0000005995,kitti360:0000_p3,isotropic,1234,2
0000_query_0000005995,kitti360:0000_p3,transfer_3,1234,13
0000_query_0000005995,kitti360:0000_p3,isotropic,1235,4
0000_query_0000005995,kitti360:0000_p3,transfer_3,1235,30
0000_query_0000005995,kitti360:0000_p3,isotropic,1236,2
0000_query_0000005995,kitti360:0000_p3,transfer_3,1236,20
0000_query_0000006003,kitti360:0000_p3,isotropic,1234,18
0000_query_0000006003,kitti360:0000_p3,transfer_3,1234,10
0000_query_0000006003,kitti360:0000_p3,isotropic,1235,24
0000_query_0000006003,kitti360:0000_p3,transfer_3,1235,24
0000_query_0000006003,kitti360:0000_p3,isotropic,1236,33
0000_query_0000006003,kitti360:0000_p3,transfer_3,1236,17
0000_query_0000006011,kitti360:0000_p3,isotropic,1234,9
0000_query_0000006011,kitti360:0000_p3,transfer_3,1234,6
0000_query_0000006011,kitti360:0000_p3,isotropic,1235,9
0000_query_0000006011,kitti360:0000_p3,transfer_3,1235,6
0000_query_0000006011,kitti360:0000_p3,isotropic,1236,9
0000_query_0000006011,kitti360:0000_p3,transfer_3,1236,1
0000_query_0000006019,kitti360:0000_p3,isotropic,1234,45
0000_query_0000006019,kitti360:0000_p3,transfer_3,1234,11
0000_query_0000006019,kitti360:0000_p3,isotropic,1235,63
0000_query_0000006019,kitti360:0000_p3,transfer_3,1235,46
0000_query_0000006019,kitti360:0000_p3,isotropic,1236,51
0000_query_0000006019,kitti360:0000_p3,transfer_3,1236,36
0000_query_0000006028,kitti360:0000_p3,isotropic,1234,3
0000_query_0000006028,kitti360:0000_p3,transfer_3,1234,5
0000_query_0000006028,kitti360:0000_p3,isotropic,1235,3
0000_query_0000006028,kitti360:0000_p3,transfer_3,1235,2
0000_query_0000006028,kitti360:0000_p3,isotropic,1236,2
0000_query_0000006028,kitti360:0000_p3,transfer_3,1236,8
0000_query_0000006038,kitti360:0000_p3,isotropic,1234,2
0000_query_0000006038,kitti360:0000_p3,transfer_3,1234,6
0000_query_0000006038,kitti360:0000_p3,isotropic,1235,2
0000_query_0000006038,kitti360:0000_p3,transfer_3,1235,4
0000_query_0000006038,kitti360:0000_p3,isotropic,1236,3
0000_query_0000006038,kitti360:0000_p3,transfer_3,1236,4
0000_query_0000006049,kitti360:0000_p3,isotropic,1234,43
0000_query_0000006049,kitti360:0000_p3,transfer_3,1234,13
0000_query_0000006049,kitti360:0000_p3,isotropic,1235,41
0000_query_0000006049,kitti360:0000_p3,transfer_3,1235,14
0000_query_0000006049,kitti360:0000_p3,isotropic,1236,43
0000_query_0000006049,kitti360:0000_p3,transfer_3,1236,12
0000_query_0000010906,kitti360:0000_p4,isotropic,1234,65
0000_query_0000010906,kitti360:0000_p4,transfer_3,1234,18
0000_query_0000010906,kitti360:0000_p4,isotropic,1235,78
0000_query_0000010906,kitti360:0000_p4,transfer_3,1235,18
0000_query_0000010906,kitti360:0000_p4,isotropic,1236,94
0000_query_0000010906,kitti360:0000_p4,transfer_3,1236,57
0000_query_0000010916,kitti360:0000_p4,isotropic,1234,1
0000_query_0000010916,kitti360:0000_p4,transfer_3,1234,2
0000_query_0000010916,kitti360:0000_p4,isotropic,1235,2
0000_query_0000010916,kitti360:0000_p4,transfer_3,1235,3
0000_query_0000010916,kitti360:0000_p4,isotropic,1236,3
0000_query_0000010916,kitti360:0000_p4,transfer_3,1236,3
0000_query_0000010931,kitti360:0000_p4,isotropic,1234,11
0000_query_0000010931,kitti360:0000_p4,transfer_3,1234,29
0000_query_0000010931,kitti360:0000_p4,isotropic,1235,15
0000_query_0000010931,kitti360:0000_p4,transfer_3,1235,33
0000_query_0000010931,kitti360:0000_p4,isotropic,1236,13
0000_query_0000010931,kitti360:0000_p4,transfer_3,1236,12
0000_query_0000010944,kitti360:0000_p4,isotropic,1234,151
0000_query_0000010944,kitti360:0000_p4,transfer_3,1234,18
0000_query_0000010944,kitti360:0000_p4,isotropic,1235,111
0000_query_0000010944,kitti360:0000_p4,transfer_3,1235,17
0000_query_0000010944,kitti360:0000_p4,isotropic,1236,166
0000_query_0000010944,kitti360:0000_p4,transfer_3,1236,11
0000_query_0000010954,kitti360:0000_p4,isotropic,1234,13
0000_query_0000010954,kitti360:0000_p4,transfer_3,1234,6
0000_query_0000010954,kitti360:0000_p4,isotropic,1235,14
0000_query_0000010954,kitti360:0000_p4,transfer_3,1235,10
0000_query_0000010954,kitti360:0000_p4,isotropic,1236,10
0000_query_0000010954,kitti360:0000_p4,transfer_3,1236,7
0000_query_0000010266,kitti360:0000_p5,isotropic,1234,75
0000_query_0000010266,kitti360:0000_p5,transfer_3,1234,22
0000_query_0000010266,kitti360:0000_p5,isotropic,1235,110
0000_query_0000010266,kitti360:0000_p5,transfer_3,1235,16
0000_query_0000010266,kitti360:0000_p5,isotropic,1236,72
0000_query_0000010266,kitti360:0000_p5,transfer_3,1236,5
0000_query_0000010277,kitti360:0000_p5,isotropic,1234,12
0000_query_0000010277,kitti360:0000_p5,transfer_3,1234,98
0000_query_0000010277,kitti360:0000_p5,isotropic,1235,10
0000_query_0000010277,kitti360:0000_p5,transfer_3,1235,120
0000_query_0000010277,kitti360:0000_p5,isotropic,1236,11
0000_query_0000010277,kitti360:0000_p5,transfer_3,1236,88
0000_query_0000010287,kitti360:0000_p5,isotropic,1234,2
0000_query_0000010287,kitti360:0000_p5,transfer_3,1234,305
0000_query_0000010287,kitti360:0000_p5,isotropic,1235,3
0000_query_0000010287,kitti360:0000_p5,transfer_3,1235,346
0000_query_0000010287,kitti360:0000_p5,isotropic,1236,6
0000_query_0000010287,kitti360:0000_p5,transfer_3,1236,207
0000_query_0000010298,kitti360:0000_p5,isotropic,1234,41
0000_query_0000010298,kitti360:0000_p5,transfer_3,1234,85
0000_query_0000010298,kitti360:0000_p5,isotropic,1235,41
0000_query_0000010298,kitti360:0000_p5,transfer_3,1235,82
0000_query_0000010298,kitti360:0000_p5,isotropic,1236,20
0000_query_0000010298,kitti360:0000_p5,transfer_3,1236,68
0000_query_0000010307,kitti360:0000_p5,isotropic,1234,86
0000_query_0000010307,kitti360:0000_p5,transfer_3,1234,158
0000_query_0000010307,kitti360:0000_p5,isotropic,1235,65
0000_query_0000010307,kitti360:0000_p5,transfer_3,1235,141
0000_query_0000010307,kitti360:0000_p5,isotropic,1236,83
0000_query_0000010307,kitti360:0000_p5,transfer_3,1236,151
0000_query_0000009717,kitti360:0000_p6,isotropic,1234,34
0000_query_0000009717,kitti360:0000_p6,transfer_3,1234,341
0000_query_0000009717,kitti360:0000_p6,isotropic,1235,68
0000_query_0000009717,kitti360:0000_p6,transfer_3,1235,757
0000_query_0000009717,kitti360:0000_p6,isotropic,1236,35
0000_query_0000009717,kitti360:0000_p6,transfer_3,1236,671
0000_query_0000009724,kitti360:0000_p6,isotropic,1234,109
0000_query_0000009724,kitti360:0000_p6,transfer_3,1234,272
0000_query_0000009724,kitti360:0000_p6,isotropic,1235,94
0000_query_0000009724,kitti360:0000_p6,transfer_3,1235,75
0000_query_0000009724,kitti360:0000_p6,isotropic,1236,69
0000_query_0000009724,kitti360:0000_p6,transfer_3,1236,167
0000_query_0000009731,kitti360:0000_p6,isotropic,1234,33
0000_query_0000009731,kitti360:0000_p6,transfer_3,1234,10
0000_query_0000009731,kitti360:0000_p6,isotropic,1235,23
0000_query_0000009731,kitti360:0000_p6,transfer_3,1235,11
0000_query_0000009731,kitti360:0000_p6,isotropic,1236,16
0000_query_0000009731,kitti360:0000_p6,transfer_3,1236,12
0000_query_0000009738,kitti360:0000_p6,isotropic,1234,8
0000_query_0000009738,kitti360:0000_p6,transfer_3,1234,182
0000_query_0000009738,kitti360:0000_p6,isotropic,1235,9
0000_query_0000009738,kitti360:0000_p6,transfer_3,1235,58
0000_query_0000009738,kitti360:0000_p6,isotropic,1236,8
0000_query_0000009738,kitti360:0000_p6,transfer_3,1236,46
0000_query_0000009745,kitti360:0000_p6,isotropic,1234,367
0000_query_0000009745,kitti360:0000_p6,transfer_3,1234,57
0000_query_0000009745,kitti360:0000_p6,isotropic,1235,276
0000_query_0000009745,kitti360:0000_p6,transfer_3,1235,38
0000_query_0000009745,kitti360:0000_p6,isotropic,1236,341
0000_query_0000009745,kitti360:0000_p6,transfer_3,1236,27
0000_query_0000009752,kitti360:0000_p6,isotropic,1234,103
0000_query_0000009752,kitti360:0000_p6,transfer_3,1234,77
0000_query_0000009752,kitti360:0000_p6,isotropic,1235,97
0000_query_0000009752,kitti360:0000_p6,transfer_3,1235,85
0000_query_0000009752,kitti360:0000_p6,isotropic,1236,70
